vertices,edges,method,n_runs,mean_time,std_error,confidence_lower,confidence_upper,margin_error,relative_error,is_narrow_enough,confidence_level
20,57,ldf,20,1.2800085823982953e-05,5.507898336603312e-07,1.1847697050348479e-05,1.3752474597617428e-05,9.523887736344745e-07,0.07440487405561187,True,0.9
40,234,ldf,20,3.05980967823416e-05,6.523317239258982e-07,2.9470128594505034e-05,3.172606497017817e-05,1.1279681878365686e-06,0.03686399830225806,True,0.9
60,531,ldf,20,5.3724873578175905e-05,8.331362847583482e-07,5.2284270291731233e-05,5.516547686462058e-05,1.4406032864446716e-06,0.02681445651702516,True,0.9
80,948,ldf,20,8.264998323284089e-05,1.244577698764637e-06,8.04979430974192e-05,8.480202336826259e-05,2.152040135421695e-06,0.02603799845136065,True,0.9
100,1485,ldf,20,0.00011410845327191055,1.8855086423618366e-06,0.00011084815841199559,0.00011736874813182551,3.26029485991496e-06,0.02857189600270858,True,0.9
120,2142,ldf,20,0.00016053743893280626,2.3802613479837754e-06,0.00015642165093601143,0.0001646532269296011,4.115787996794833e-06,0.025637558591659837,True,0.9
140,2919,ldf,20,0.00019920439226552844,1.8640144212643397e-06,0.00019598126376857124,0.00020242752076248563,3.2231284969571944e-06,0.016180007179063313,True,0.9
160,3816,ldf,20,0.0002518542460165918,5.387211053740755e-06,0.00024253904262097804,0.00026116944941220554,9.315203395613748e-06,0.0369864854095018,True,0.9
180,4833,ldf,20,0.00032232069643214347,2.3892083497655078e-06,0.00031818943788100313,0.0003264519549832838,4.131258551140341e-06,0.012817230158877105,True,0.9
200,5970,ldf,15,0.0003889025344202916,5.415805626780511e-06,0.0003793636210764566,0.0003984414477641266,9.538913343834987e-06,0.024527773669703497,True,0.9
250,9337,ldf,15,0.0005877055926248431,7.1467738574930675e-06,0.0005751179073915498,0.0006002932778581364,1.2587685233293277e-05,0.021418351962712256,True,0.9
300,13455,ldf,15,0.0008834942942485213,9.098406372561547e-06,0.0008674691788851302,0.0008995194096119125,1.6025115363391173e-05,0.01813833486838955,True,0.9
350,18322,ldf,15,0.00126792227383703,1.0144484187141617e-05,0.0012500546910160096,0.0012857898566580503,1.7867582821020364e-05,0.014092017460146726,True,0.9
400,23940,ldf,15,0.0016608774817238252,1.1999573680919672e-05,0.0016397425109746441,0.0016820124524730062,2.1134970749181036e-05,0.012725183513985055,True,0.9
450,30307,ldf,15,0.0020433806038151186,1.1611801723542325e-05,0.0020229286197448355,0.0020638325878854016,2.045198407028305e-05,0.010008896057884627,True,0.9
500,37425,ldf,15,0.002488877600990236,2.5476869663714474e-05,0.0024440049322237206,0.002533750269756751,4.487266876651531e-05,0.018029279040745947,True,0.9
550,45292,ldf,15,0.003126908109212915,3.6914775753827515e-05,0.0030618897405178427,0.0031919264779079874,6.501836869507232e-05,0.02079318177067836,True,0.9
600,53910,ldf,10,0.0037270540022291245,6.179020216104622e-05,0.0036137855835364284,0.0038403224209218206,0.0001132684186926961,0.030390871349047013,True,0.9
700,73395,ldf,10,0.005898566602263599,0.0001066521799182254,0.005703061111959798,0.006094072092567401,0.00019550549030380136,0.03314457621429168,True,0.9
800,95880,ldf,10,0.006603212503250688,5.1647092624925364e-05,0.006508537549825977,0.006697887456675399,9.467495342471103e-05,0.014337711133498066,True,0.9
900,121365,ldf,10,0.008013462601229548,7.156554463910333e-05,0.007882274875819207,0.008144650326639889,0.0001311877254103408,0.01637091628657654,True,0.9
1000,149850,ldf,10,0.01157780431676656,0.0011906053145464902,0.00939529031698524,0.013760318316547879,0.002182513999781319,0.18850845463165072,False,0.9
1100,181335,ldf,10,0.012099004199262709,0.00011068058660613872,0.011896114184561305,0.012301894213964113,0.000202890014701404,0.016769149870513124,True,0.9
20,57,hybrid,20,0.00011980204726569355,1.6451416862202205e-06,0.00011695737879644858,0.0001226467157349385,2.844668469244966e-06,0.023744740045519772,True,0.9
40,234,hybrid,20,0.0004790562903508544,4.121385836014333e-06,0.0004719298668728626,0.0004861827138288462,7.126423477991808e-06,0.014875962640575101,True,0.9
60,531,hybrid,20,0.0012551665946375578,8.837870596312466e-06,0.001239884742605494,0.0012704484466696216,1.5281852032063845e-05,0.012175158339420782,True,0.9
80,948,hybrid,20,0.002611262444406748,1.2119321612886949e-05,0.002590306527752525,0.002632218361060971,2.095591665422303e-05,0.008025205087719171,True,0.9
100,1485,hybrid,20,0.0045807187329046425,1.968329216009201e-05,0.004546683706591866,0.004614753759217419,3.403502631277658e-05,0.00743006246340624,True,0.9
120,2142,hybrid,20,0.007457727141445503,3.309317126640123e-05,0.007400504653171472,0.007514949629719533,5.7222488274030585e-05,0.007672912562866891,True,0.9
140,2919,hybrid,20,0.011162543803220615,4.333312446353157e-05,0.011087615075884984,0.011237472530556247,7.49287273356311e-05,0.006712513622030552,True,0.9
160,3816,hybrid,20,0.016424860584083944,6.095234929061196e-05,0.016319465876986235,0.016530255291181652,0.00010539470709770848,0.006416779403280799,True,0.9
180,4833,hybrid,20,0.02362755224457942,0.0005744192893959777,0.022634305003714047,0.02462079948544479,0.000993247240865372,0.04203766986033183,True,0.9
200,5970,hybrid,15,0.03135604166891426,8.230763442442262e-05,0.031211072398150873,0.031501010939677644,0.00014496927076338567,0.004623328170503908,True,0.9
250,9337,hybrid,15,0.06075127225679656,0.00038556548260678514,0.060072171864276304,0.06143037264931681,0.0006791003925202543,0.011178373181218108,True,0.9
300,13455,hybrid,15,0.10727470013468215,0.0015402587652163634,0.1045618267597905,0.1099875735095738,0.00271287337489165,0.025289032469777765,True,0.9
350,18322,hybrid,15,0.1725914417222763,0.0003224902637226026,0.17202343635209297,0.17315944709245965,0.0005680053701833387,0.0032910401843524698,True,0.9
400,23940,hybrid,15,0.2617579444622,0.0013690115463428777,0.2593466905496335,0.26416919837476655,0.0024112539125665244,0.009211769742158597,True,0.9
450,30307,hybrid,15,0.36861431134554246,0.001775695680986532,0.36548676054456924,0.37174186214651567,0.003127550800973211,0.008484615775108678,True,0.9
500,37425,hybrid,15,0.4882708861880625,0.0006930891233080376,0.48705014129018476,0.4894916310859403,0.001220744897877768,0.002500138616512936,True,0.9
550,45292,hybrid,15,0.6646561111401146,0.0036540467099108803,0.6582202016333538,0.6710920206468753,0.006435909506760762,0.00968306677526963,True,0.9
600,53910,hybrid,10,0.888537312624976,0.006587897693183067,0.8764609521646031,0.900613673085349,0.01207636046037297,0.013591281186263503,True,0.9
700,73395,hybrid,10,1.4509799459017814,0.0030017023141536876,1.44547748656973,1.4564824052338328,0.0055024593320514015,0.003792236651921218,True,0.9
800,95880,hybrid,10,2.100936137291137,0.010731247289722171,2.081264549100843,2.120607725481431,0.01967158819029402,0.009363249001779645,True,0.9
900,121365,hybrid,10,3.0629782292060552,0.025658509373839105,3.0159432838402562,3.110013174571854,0.047034945365799,0.015355951575924447,True,0.9
1000,149850,hybrid,10,4.066858729289379,0.029026323862674987,4.013650199629317,4.120067258949441,0.053208529660062176,0.013083446758761535,True,0.9
1100,181335,hybrid,10,5.646641958225518,0.12064704798645248,5.425482294275069,5.867801622175968,0.2211596639504494,0.0391665817642792,True,0.9
