vertices,edges,graph_type,optimal_colors,optimal_time,dsatur_colors,dsatur_time,dsatur_ratio,dsatur_error,dsatur_optimal,ldf_colors,ldf_time,ldf_ratio,ldf_error,ldf_optimal,hybrid_colors,hybrid_time,hybrid_ratio,hybrid_error,hybrid_optimal
4,3,random_0.5,2,1.3113021850585938e-05,2,6.9141387939453125e-06,1.0,0.0,True,2,1.9073486328125e-06,1.0,0.0,True,2,1.0013580322265625e-05,1.0,0.0,True
4,3,random_0.5,2,4.76837158203125e-06,2,7.152557373046875e-06,1.0,0.0,True,2,1.9073486328125e-06,1.0,0.0,True,2,9.298324584960938e-06,1.0,0.0,True
4,3,random_0.5,2,9.059906005859375e-06,2,6.198883056640625e-06,1.0,0.0,True,2,1.9073486328125e-06,1.0,0.0,True,2,9.059906005859375e-06,1.0,0.0,True
4,4,random_0.8,2,1.0967254638671875e-05,2,7.152557373046875e-06,1.0,0.0,True,2,1.9073486328125e-06,1.0,0.0,True,2,8.821487426757812e-06,1.0,0.0,True
4,4,random_0.8,2,7.152557373046875e-06,2,6.9141387939453125e-06,1.0,0.0,True,2,2.1457672119140625e-06,1.0,0.0,True,2,1.0967254638671875e-05,1.0,0.0,True
4,4,random_0.8,3,3.0994415283203125e-05,3,6.9141387939453125e-06,1.0,0.0,True,3,2.1457672119140625e-06,1.0,0.0,True,3,1.0013580322265625e-05,1.0,0.0,True
4,4,random_0.8,3,4.100799560546875e-05,3,6.9141387939453125e-06,1.0,0.0,True,3,2.1457672119140625e-06,1.0,0.0,True,3,9.059906005859375e-06,1.0,0.0,True
4,4,random_0.8,3,4.00543212890625e-05,3,6.9141387939453125e-06,1.0,0.0,True,3,1.9073486328125e-06,1.0,0.0,True,3,1.0013580322265625e-05,1.0,0.0,True
5,10,complete,5,0.002409219741821289,5,1.4066696166992188e-05,1.0,0.0,True,5,4.0531158447265625e-06,1.0,0.0,True,5,1.621246337890625e-05,1.0,0.0,True
5,5,cycle,3,9.393692016601562e-05,3,1.0967254638671875e-05,1.0,0.0,True,3,2.6226043701171875e-06,1.0,0.0,True,3,1.4066696166992188e-05,1.0,0.0,True
5,4,path,2,1.7881393432617188e-05,2,1.0013580322265625e-05,1.0,0.0,True,2,3.0994415283203125e-06,1.0,0.0,True,2,1.3113021850585938e-05,1.0,0.0,True
5,2,random_0.2,2,5.0067901611328125e-06,2,1.0967254638671875e-05,1.0,0.0,True,2,2.1457672119140625e-06,1.0,0.0,True,2,1.1920928955078125e-05,1.0,0.0,True
5,2,random_0.2,2,6.9141387939453125e-06,2,8.821487426757812e-06,1.0,0.0,True,2,3.0994415283203125e-06,1.0,0.0,True,2,1.2159347534179688e-05,1.0,0.0,True
5,2,random_0.2,2,2.002716064453125e-05,2,8.821487426757812e-06,1.0,0.0,True,2,1.9073486328125e-06,1.0,0.0,True,2,1.1205673217773438e-05,1.0,0.0,True
5,2,random_0.2,2,1.621246337890625e-05,2,9.059906005859375e-06,1.0,0.0,True,2,2.86102294921875e-06,1.0,0.0,True,2,1.1920928955078125e-05,1.0,0.0,True
5,2,random_0.2,2,1.0967254638671875e-05,2,7.867813110351562e-06,1.0,0.0,True,2,3.0994415283203125e-06,1.0,0.0,True,2,1.0967254638671875e-05,1.0,0.0,True
5,5,random_0.5,3,5.602836608886719e-05,3,1.0967254638671875e-05,1.0,0.0,True,3,2.86102294921875e-06,1.0,0.0,True,3,1.3113021850585938e-05,1.0,0.0,True
5,5,random_0.5,3,6.985664367675781e-05,3,1.0013580322265625e-05,1.0,0.0,True,3,3.0994415283203125e-06,1.0,0.0,True,3,1.2159347534179688e-05,1.0,0.0,True
5,5,random_0.5,3,0.00010800361633300781,3,9.775161743164062e-06,1.0,0.0,True,3,1.6689300537109375e-06,1.0,0.0,True,3,1.3113021850585938e-05,1.0,0.0,True
5,5,random_0.5,3,6.794929504394531e-05,3,9.059906005859375e-06,1.0,0.0,True,3,2.86102294921875e-06,1.0,0.0,True,3,1.3113021850585938e-05,1.0,0.0,True
5,5,random_0.5,3,9.012222290039062e-05,3,1.0013580322265625e-05,1.0,0.0,True,3,1.9073486328125e-06,1.0,0.0,True,3,1.3113021850585938e-05,1.0,0.0,True
5,8,random_0.8,4,0.0005271434783935547,4,1.0967254638671875e-05,1.0,0.0,True,4,3.0994415283203125e-06,1.0,0.0,True,4,1.5974044799804688e-05,1.0,0.0,True
5,8,random_0.8,3,0.00012540817260742188,3,1.1920928955078125e-05,1.0,0.0,True,3,2.86102294921875e-06,1.0,0.0,True,3,1.5020370483398438e-05,1.0,0.0,True
5,8,random_0.8,3,0.0001227855682373047,3,1.2159347534179688e-05,1.0,0.0,True,3,3.0994415283203125e-06,1.0,0.0,True,3,1.4781951904296875e-05,1.0,0.0,True
5,8,random_0.8,4,0.0004570484161376953,4,1.0967254638671875e-05,1.0,0.0,True,4,2.1457672119140625e-06,1.0,0.0,True,4,1.3113021850585938e-05,1.0,0.0,True
5,8,random_0.8,3,0.0001220703125,3,1.0967254638671875e-05,1.0,0.0,True,3,3.0994415283203125e-06,1.0,0.0,True,3,1.4066696166992188e-05,1.0,0.0,True
6,15,complete,6,0.0462338924407959,6,4.982948303222656e-05,1.0,0.0,True,6,5.9604644775390625e-06,1.0,0.0,True,6,2.288818359375e-05,1.0,0.0,True
6,6,cycle,2,4.291534423828125e-05,2,1.5020370483398438e-05,1.0,0.0,True,2,3.0994415283203125e-06,1.0,0.0,True,2,1.8358230590820312e-05,1.0,0.0,True
6,5,path,2,3.886222839355469e-05,2,1.4066696166992188e-05,1.0,0.0,True,2,2.86102294921875e-06,1.0,0.0,True,2,1.71661376953125e-05,1.0,0.0,True
6,3,random_0.2,2,2.1696090698242188e-05,2,1.1920928955078125e-05,1.0,0.0,True,2,4.291534423828125e-06,1.0,0.0,True,2,1.5735626220703125e-05,1.0,0.0,True
6,3,random_0.2,2,3.790855407714844e-05,2,1.1920928955078125e-05,1.0,0.0,True,2,4.291534423828125e-06,1.0,0.0,True,2,1.5735626220703125e-05,1.0,0.0,True
6,3,random_0.2,2,2.09808349609375e-05,2,1.3113021850585938e-05,1.0,0.0,True,2,3.0994415283203125e-06,1.0,0.0,True,2,1.5020370483398438e-05,1.0,0.0,True
6,3,random_0.2,2,9.059906005859375e-06,2,1.1920928955078125e-05,1.0,0.0,True,2,3.0994415283203125e-06,1.0,0.0,True,2,1.4781951904296875e-05,1.0,0.0,True
6,3,random_0.2,2,8.106231689453125e-06,2,1.2874603271484375e-05,1.0,0.0,True,2,3.0994415283203125e-06,1.0,0.0,True,2,1.4781951904296875e-05,1.0,0.0,True
6,7,random_0.5,3,0.00020599365234375,3,1.3828277587890625e-05,1.0,0.0,True,3,3.0994415283203125e-06,1.0,0.0,True,3,1.6927719116210938e-05,1.0,0.0,True
6,7,random_0.5,3,0.0002799034118652344,3,1.3828277587890625e-05,1.0,0.0,True,3,4.291534423828125e-06,1.0,0.0,True,3,1.6927719116210938e-05,1.0,0.0,True
6,7,random_0.5,3,0.00032591819763183594,3,1.4066696166992188e-05,1.0,0.0,True,3,3.0994415283203125e-06,1.0,0.0,True,3,1.6927719116210938e-05,1.0,0.0,True
6,7,random_0.5,3,0.00018477439880371094,3,1.4066696166992188e-05,1.0,0.0,True,3,4.0531158447265625e-06,1.0,0.0,True,3,1.7881393432617188e-05,1.0,0.0,True
6,7,random_0.5,3,0.00018477439880371094,3,1.4066696166992188e-05,1.0,0.0,True,3,4.291534423828125e-06,1.0,0.0,True,3,1.7881393432617188e-05,1.0,0.0,True
6,12,random_0.8,4,0.0024650096893310547,4,1.5735626220703125e-05,1.0,0.0,True,4,4.0531158447265625e-06,1.0,0.0,True,4,1.9788742065429688e-05,1.0,0.0,True
6,12,random_0.8,4,0.0023818016052246094,4,2.09808349609375e-05,1.0,0.0,True,4,5.245208740234375e-06,1.0,0.0,True,4,2.0265579223632812e-05,1.0,0.0,True
6,12,random_0.8,4,0.0021419525146484375,4,1.71661376953125e-05,1.0,0.0,True,4,3.814697265625e-06,1.0,0.0,True,4,1.8835067749023438e-05,1.0,0.0,True
6,12,random_0.8,4,0.0023479461669921875,4,2.6226043701171875e-05,1.0,0.0,True,4,7.152557373046875e-06,1.0,0.0,True,4,2.002716064453125e-05,1.0,0.0,True
6,12,random_0.8,4,0.0023980140686035156,4,1.5735626220703125e-05,1.0,0.0,True,4,4.0531158447265625e-06,1.0,0.0,True,4,1.7881393432617188e-05,1.0,0.0,True
7,7,cycle,3,0.0006740093231201172,3,1.9073486328125e-05,1.0,0.0,True,3,4.0531158447265625e-06,1.0,0.0,True,3,2.0265579223632812e-05,1.0,0.0,True
7,6,path,2,7.486343383789062e-05,2,1.6927719116210938e-05,1.0,0.0,True,2,2.86102294921875e-06,1.0,0.0,True,2,2.002716064453125e-05,1.0,0.0,True
7,4,random_0.2,3,0.0004248619079589844,3,1.5020370483398438e-05,1.0,0.0,True,3,3.0994415283203125e-06,1.0,0.0,True,3,1.9311904907226562e-05,1.0,0.0,True
